,family_history,sex,peer_discussion
0,No,Male,Maybe
1,Yes,male,Maybe
2,No,Male ,Maybe
3,No,male,
4,Yes,Female,Maybe
5,No,Male,Maybe
6,No,M,Maybe
7,Yes,female,Maybe
8,Yes,Female,Yes
9,Yes,Male,
10,I don't know,Male,Maybe
11,Yes,Male,No
12,Yes,Female,Yes
13,No,Male,No
14,Yes,Male,Yes
15,Yes,m,Maybe
16,Yes,I identify as female.,Maybe
17,No,Male,Yes
18,I don't know,female ,
19,Yes,M,No
20,Yes,Male,Maybe
21,No,male,Maybe
22,I don't know,male,Maybe
23,Yes,Male,Maybe
24,No,Male,
25,No,male,Maybe
26,I don't know,Male,No
27,No,male,No
28,Yes,female,Maybe
29,Yes,Bigender,Yes
30,Yes,non-binary,Maybe
31,No,Male,Yes
32,I don't know,Male,No
33,No,Male ,
34,No,Male,Maybe
35,No,Male,No
36,Yes,Male,Yes
37,No,male,Yes
38,Yes,male,Maybe
39,I don't know,Male,Yes
40,Yes,Male,
41,I don't know,male,Maybe
42,Yes,Female assigned at birth ,Yes
43,Yes,M,
44,No,Male,No
45,Yes,male,Maybe
46,Yes,Male,
47,I don't know,Male,No
48,Yes,male,
49,No,F,Yes
50,I don't know,M,No
51,Yes,Male,Yes
52,No,Male,
53,Yes,Male,Maybe
54,No,Male,Maybe
55,No,Woman,Yes
56,Yes,Male,Yes
57,Yes,Male,Maybe
58,I don't know,female,No
59,I don't know,Male,Maybe
60,I don't know,man,Maybe
61,No,Male,No
62,No,Male,Yes
63,I don't know,Male,
64,No,Male,
65,No,male,
66,Yes,female,Maybe
67,Yes,M,No
68,Yes,Male,No
69,I don't know,Male,No
70,No,Male,
71,No,male,Maybe
72,Yes,Male,No
73,No,male,Yes
74,Yes,Male,Maybe
75,Yes,Male,Maybe
76,I don't know,M,
77,No,F,Yes
78,No,Male ,No
79,Yes,Male,Maybe
80,No,male,Maybe
81,Yes,Male,No
82,Yes,Male,
83,No,Male,Maybe
84,Yes,male,
85,No,Male,No
86,No,Male,Maybe
87,I don't know,Male,No
88,I don't know,Male,
89,Yes,Female,Maybe
90,I don't know,Male,No
91,Yes,male,Maybe
92,No,Male,Maybe
93,No,male,No
94,No,Female,Maybe
95,Yes,Male,Maybe
96,No,female,Maybe
97,I don't know,M,No
98,Yes,Male,
99,Yes,Female,Maybe
100,No,Male,No
101,I don't know,Male,Maybe
102,Yes,Male,Yes
103,Yes,fm,No
104,I don't know,Male,Maybe
105,No,m,
106,Yes,f,Maybe
107,Yes,Female,Maybe
108,No,Male,No
109,I don't know,male,
110,No,Male,Yes
111,Yes,M,Yes
112,Yes,Male,No
113,Yes,Male,
114,Yes,Female,
115,No,Male,Maybe
116,Yes,Male,Maybe
117,Yes,f,Yes
118,Yes,F,Maybe
119,Yes,M,No
120,Yes,M,Yes
121,I don't know,Female,Maybe
122,No,m,
123,Yes,Cis female ,No
124,I don't know,Female,
125,Yes,Female,
126,I don't know,F,Yes
127,No,Male,
128,No,Male,Yes
129,No,Female,No
