,family_history,sex,peer_discussion
0,No,Female,Some of them
1,No,Male,No
2,No,Male,Yes
3,Yes,Male,Some of them
4,No,Male,Some of them
5,Yes,Male,Yes
6,Yes,Female,Some of them
7,No,Male,No
8,Yes,Female,Yes
9,No,Male,Yes
10,No,Male,Some of them
11,No,Male,Yes
12,Yes,Female,Yes
13,Yes,Male,Yes
14,No,Male,Some of them
15,Yes,Female,Yes
16,No,Male,Some of them
17,No,Male,Some of them
18,Yes,Male,Yes
19,Yes,Male,Some of them
20,Yes,Male,Some of them
21,No,Male,Some of them
22,No,Male,Some of them
23,No,Male,No
24,Yes,Male,Yes
25,Yes,Male,Some of them
26,No,Male,Some of them
27,Yes,Female,Yes
28,No,Male,Some of them
29,No,Male,Some of them
30,No,Male,Some of them
31,Yes,Male,No
32,Yes,Male,Some of them
33,Yes,Male,Some of them
34,No,Female,Some of them
35,No,Male,Yes
36,No,Male,Some of them
37,No,Male,Some of them
38,No,Male,Some of them
39,No,Male,Yes
40,No,Male,Some of them
41,No,Male,Some of them
42,Yes,Male,Some of them
43,No,Male,No
44,No,Male,No
45,Yes,Female,Some of them
46,No,Male,Some of them
47,No,Male,Yes
48,No,Male,Yes
49,Yes,Male,Some of them
50,Yes,Male,No
51,No,Male,Some of them
52,No,Male,Some of them
53,No,Male,Some of them
54,No,Male,No
55,Yes,Male,No
56,Yes,Male,Yes
57,Yes,Male,Some of them
58,No,Male,Some of them
59,Yes,Male,No
60,Yes,Male,Some of them
61,No,Female,Yes
62,No,Male,Yes
63,No,Male,No
64,No,Male,Some of them
65,Yes,Male,Some of them
66,Yes,Female,Some of them
67,No,Male,Some of them
68,No,Female,Some of them
69,No,Male,Some of them
70,No,Male,Some of them
71,No,Male,Some of them
72,No,Other,Yes
73,No,Male,Some of them
74,No,Male,Some of them
75,No,Male,No
76,No,Male,Yes
77,Yes,Male,Yes
78,Yes,Male,Some of them
79,No,Male,Some of them
80,Yes,Male,Yes
81,No,Male,Some of them
82,No,Male,Some of them
83,No,Female,Some of them
84,Yes,Male,No
85,No,Male,Some of them
86,No,Male,Some of them
87,Yes,Female,Some of them
88,No,Female,Some of them
89,No,Male,Some of them
90,No,Male,Some of them
91,No,Male,Yes
92,No,Male,Some of them
93,No,Male,Yes
94,No,Female,Some of them
95,No,Male,Yes
96,Yes,Male,Some of them
97,Yes,Male,Some of them
98,No,Male,Some of them
99,No,Male,Yes
100,Yes,Female,No
101,No,Female,No
102,Yes,Male,Some of them
103,Yes,Male,Some of them
104,No,Male,Some of them
105,Yes,Male,Some of them
106,Yes,Male,Some of them
107,Yes,Male,Yes
108,Yes,Male,No
109,No,Male,Some of them
110,No,Male,No
111,No,Male,Some of them
112,Yes,Male,Yes
113,No,Male,Some of them
114,No,Male,Some of them
115,No,Male,Some of them
116,No,Male,Some of them
117,No,Male,Some of them
118,No,Male,Some of them
119,No,Male,Some of them
120,No,Male,No
121,No,Male,Some of them
122,Yes,Male,Yes
123,No,Male,No
124,No,Male,Some of them
125,Yes,Male,Some of them
126,No,Male,Some of them
127,No,Male,No
128,Yes,Male,No
129,No,Male,Some of them
130,Yes,Male,Yes
131,No,Male,Yes
132,No,Male,Yes
133,No,Male,Yes
134,No,Male,Some of them
135,No,Male,No
136,No,Male,Some of them
137,No,Male,Yes
138,No,Female,Some of them
139,No,Male,Some of them
140,Yes,Male,Some of them
141,No,Male,Some of them
142,No,Male,Some of them
143,No,Male,Some of them
144,Yes,Female,Some of them
145,Yes,Male,Some of them
146,No,Male,No
147,No,Male,No
148,No,Male,Some of them
149,No,Female,No
150,Yes,Male,Some of them
151,Yes,Male,Some of them
152,No,Male,Yes
153,No,Male,Some of them
154,Yes,Male,Some of them
155,Yes,Male,Some of them
156,Yes,Male,No
157,No,Male,Some of them
158,No,Male,Some of them
159,Yes,Male,Some of them
160,No,Male,Some of them
161,Yes,Female,Some of them
162,No,Male,Some of them
163,Yes,Male,Some of them
164,Yes,Female,Some of them
165,Yes,Female,Yes
166,No,Male,Some of them
167,No,Male,Yes
168,Yes,Male,No
169,No,Male,Some of them
170,No,Male,Yes
171,No,Male,Some of them
172,No,Male,No
173,No,Female,Some of them
174,Yes,Female,Some of them
175,No,Male,No
176,No,Male,Some of them
177,No,Female,Yes
178,No,Female,Yes
179,No,Male,Yes
180,No,Male,No
181,No,Female,Some of them
182,No,Female,Yes
183,No,Male,Some of them
184,Yes,Male,No
185,No,Male,Some of them
186,No,Male,Some of them
187,No,Male,Some of them
188,Yes,Male,Some of them
189,Yes,Female,No
190,Yes,Female,Some of them
191,Yes,Male,Some of them
192,No,Male,No
193,No,Male,Some of them
194,No,Female,Some of them
195,Yes,Mal,Some of them
196,No,Female,Some of them
197,No,Male,Some of them
198,Yes,Male,Some of them
199,Yes,Male,Some of them
200,Yes,Female,Some of them
201,No,Female,Some of them
202,No,Male,Some of them
203,No,Male,No
204,Yes,Male,Yes
205,Yes,Male,No
206,No,Male,Some of them
207,No,Male,Yes
208,No,Male,Some of them
209,No,Male,No
210,No,Female,Some of them
211,Yes,Male,Some of them
212,No,Male,No
213,Yes,Female,Some of them
214,No,Female,Yes
215,Yes,Female,Some of them
216,No,Male,Some of them
217,No,Male,Some of them
218,No,Female,Some of them
219,No,Male,No
220,No,Female,Yes
221,No,Male,Yes
222,No,Male,Some of them
223,No,Male,No
224,No,Male,No
225,No,Male,Yes
226,No,Male,Some of them
227,No,Male,No
228,No,Male,Some of them
229,No,Male,Some of them
230,No,Male,Some of them
231,No,Male,Some of them
232,No,Male,No
233,No,Male,Some of them
234,No,Male,Some of them
235,No,Male,No
236,Yes,Male,Some of them
237,Yes,Male,Some of them
238,Yes,Female,Some of them
239,Yes,Female,Some of them
240,No,Male,Some of them
241,Yes,Male,Some of them
242,Yes,Male,Some of them
243,No,Male,Some of them
244,No,Male,Some of them
245,No,Male,No
246,No,Male,No
247,No,Male,Yes
248,Yes,Male,Yes
249,Yes,Female,Some of them
250,Yes,Male,Some of them
251,Yes,Male,Some of them
252,Yes,Male,Some of them
253,No,Male,Yes
254,No,Male,Yes
255,No,Male,No
256,No,Female,Some of them
257,No,Male,Some of them
258,No,Male,Some of them
259,Yes,Male,No
260,No,Female,Yes
261,No,Male,Some of them
262,No,Male,Yes
263,Yes,Male,Some of them
264,No,Male,Yes
265,No,Male,Some of them
266,No,Male,Yes
267,Yes,Male,Yes
268,Yes,Female,Some of them
269,No,Male,Yes
270,No,Male,Some of them
271,Yes,Female,Some of them
272,No,Male,Some of them
273,No,Male,Yes
274,No,Male,No
275,No,Male,Some of them
276,No,Male,Some of them
277,No,Male,No
278,No,Male,Some of them
279,Yes,Male,Some of them
280,Yes,Male,Some of them
281,No,Male,No
282,No,Male,No
283,Yes,Male,No
284,No,Male,Some of them
285,Yes,Male,Yes
286,Yes,Female,Some of them
287,No,Male,Some of them
288,No,Female,Some of them
289,Yes,Female,Some of them
290,No,Male,Yes
291,No,Male,Some of them
292,Yes,Male,Some of them
293,No,Male,Some of them
294,No,Male,Yes
295,No,Female,Some of them
296,Yes,Female,Yes
297,No,Male,Some of them
298,Yes,Male,No
299,No,Male,Some of them
300,No,Female,Some of them
301,No,Female,Yes
302,No,Male,Some of them
303,Yes,Female,Some of them
304,No,Female,Some of them
305,Yes,Male,Some of them
306,Yes,Other,Some of them
307,No,Male,Some of them
308,No,Male,Some of them
309,No,Male,Some of them
310,No,Male,No
311,No,Male,Some of them
312,No,Male,Some of them
313,Yes,Male,No
314,Yes,Male,Yes
315,No,Male,Some of them
316,No,Male,No
317,No,Male,Some of them
318,Yes,Female,No
319,No,Male,Some of them
320,Yes,Male,Some of them
321,No,Male,Some of them
322,No,Male,Some of them
323,Yes,Female,Some of them
324,No,Male,No
325,No,Male,No
326,No,Female,No
327,Yes,Male,Yes
328,No,Male,Some of them
329,Yes,Male,No
330,No,Male,Some of them
331,Yes,Male,Some of them
332,No,Male,No
333,No,Male,No
334,No,Male,Some of them
335,No,Male,Some of them
336,No,Male,No
337,No,Female,Some of them
338,No,Male,No
339,No,Male,Some of them
340,No,Male,Yes
341,Yes,Female,Some of them
342,No,Male,No
343,No,Male,Some of them
344,No,Male,No
345,Yes,Female,Some of them
346,Yes,Male,Yes
347,Yes,Male,No
348,No,Male,Some of them
349,Yes,Other,Some of them
350,No,Male,Yes
351,No,Male,No
352,No,Male,Some of them
353,Yes,Male,Some of them
354,Yes,Female,Some of them
355,No,Male,Some of them
356,Yes,Male,Some of them
357,Yes,Male,No
358,No,Male,Some of them
359,No,Male,Yes
360,No,Femake,Some of them
361,Yes,Male,Yes
362,Yes,Male,Some of them
363,Yes,Male,Some of them
